word_suggest_b1,suggest
word_suggest_b2,suggest
word_suggest_b3,suggest
word_suggest_b4,suggest
word_suggest_b5,suggest
text_to_speech_b,speech
esc_b,esc
f1_b,f1
f2_b,f2
f3_b,f3
f4_b,f4
f5_b,f5
f6_b,f6
f7_b,f7
f8_b,f8
f9_b,f9
f10_b,f10
f11_b,f11
f12_b,f12
home_b,home
end_b,end
insert_b,insert
delete_b,delete
r1_0,`
r1_1,1
r1_2,2
r1_3,3
r1_4,4
r1_5,5
r1_6,6
r1_7,7
r1_8,8
r1_9,9
r1_10,0
r1_11,-
r1_12,=
back_space_b,backspace
tab_b,tab
r2_0,q
r2_1,w
r2_2,e
r2_3,r
r2_4,t
r2_5,y
r2_6,u
r2_7,i
r2_8,o
r2_9,p
r2_10,[
r2_11,]
r2_12,\
caps_lock_b,caps_lock
r3_0,a
r3_1,s
r3_2,d
r3_3,f
r3_4,g
r3_5,h
r3_6,j
r3_7,k
r3_8,l
r3_9,;
r3_10,'
enter_b,enter
l_shift_b,shift
r4_0,z
r4_1,x
r4_2,c
r4_3,v
r4_4,b
r4_5,n
r4_6,m
r4_7,","
r4_8,.
r4_9,?
up_b,up
r_shift_b,shift
l_ctrl,ctrl
win_b,cmd
l_alt_b,alt
space_b,space
r_alt_b,alt
r_ctrl,ctrl
left_b,left
down_b,down
right_b,right
mouse_b,mouse
